,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
0,HTS_TST,lAkCo0T7dy5,202412,EpiC,General Population,Positive,48
1,HTS_TST,DGB4g8t0mN8,202506,EpiC,General Population,Positive,23
2,HTS_TST,b5GPt15HxA0,202503,EpiC,General Population,Negative,38
3,HTS_TST,yPvzI5AzZbH,202407,EpiC,MSM,Positive,3
4,HTS_TST,ahlStFDt5BK,202407,EpiC,Other PP,Negative,52
5,HTS_TST,D1fEttl1Daq,202408,EpiC,MSM,Negative,3
6,HTS_TST,Ed0HIUeYEVW,202407,EpiC,Transgender People,Negative,5
7,HTS_TST,LwCrnV0Qq2p,202506,EpiC,General Population,Negative,21
8,HTS_TST,rg8T6iK8X0o,202412,EpiC,General Population,Positive,1
9,HTS_TST,Q88nLxAVMFB,202503,EpiC,General Population,Negative,30
10,HTS_TST,GnKwqSyWkSe,202409,EpiC,Other KP,Negative,299
11,HTS_TST,TsgohDMYt4w,202409,EpiC,Adolescent girls and young women,Negative,2
12,HTS_TST,Ja7amYEzzs5,202412,EpiC,General Population,Negative,34
13,HTS_TST,GQ75QdnvnYr,202408,EpiC,MSM,Positive,1
14,HTS_TST,TbLN4eDGgUN,202506,EpiC,General Population,Positive,6
15,HTS_TST,eao4nvpumO3,202409,EpiC,Transgender People,Negative,387
16,HTS_TST,yrEH93XaKkn,202409,EpiC,General Population,Positive,2
17,HTS_TST,twtxSx5SCnQ,202409,EpiC,Other KP,Negative,179
18,HTS_TST,b5GPt15HxA0,202504,EpiC,General Population,Negative,3
19,HTS_TST,DGB4g8t0mN8,202505,EpiC,General Population,Positive,24
20,HTS_TST,D1fEttl1Daq,202407,EpiC,MSM,Negative,4
21,HTS_TST,e4l8lbdiyl7,202407,EpiC,Other PP,Negative,1
22,HTS_TST,eao4nvpumO3,202408,EpiC,Transgender People,Negative,5
23,HTS_TST,NCZlDWkyzRg,202505,EpiC,General Population,Negative,29
24,HTS_TST,MYv6tZmK29i,202503,EpiC,General Population,Negative,321
25,HTS_TST,Ed0HIUeYEVW,202408,EpiC,Transgender People,Negative,3
26,HTS_TST,wZxaLzcne9u,202407,EpiC,Other PP,Negative,15
27,HTS_TST,dLeuIQnXZRC,202407,EpiC,Other PP,Positive,30
