,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
3,HTS_TST,yPvzI5AzZbH,202407,EpiC,MSM,Positive,3
5,HTS_TST,D1fEttl1Daq,202408,EpiC,MSM,Negative,3
13,HTS_TST,GQ75QdnvnYr,202408,EpiC,MSM,Positive,1
20,HTS_TST,D1fEttl1Daq,202407,EpiC,MSM,Negative,4
49,HTS_TST,D1fEttl1Daq,202409,EpiC,MSM,Negative,2
55,HTS_TST,GQ75QdnvnYr,202407,EpiC,MSM,Positive,1
62,HTS_TST,CBvQCjnU5ad,202407,EpiC,MSM,Positive,1
65,HTS_TST,GdGMDL0wkUI,202407,EpiC,MSM,Negative,65
79,HTS_TST,wekFgCAgQu0,202408,EpiC,Clients of FSW,Positive,8
81,HTS_TST,r1keo014W0c,202407,EpiC,MSM,Negative,146
86,HTS_TST,JRq8qlJlRyT,202408,EpiC,Clients of FSW,Negative,58
87,HTS_TST,CBvQCjnU5ad,202409,EpiC,MSM,Positive,3
92,HTS_TST,GQ75QdnvnYr,202409,EpiC,MSM,Positive,5
93,HTS_TST,GdGMDL0wkUI,202409,EpiC,MSM,Negative,844
106,HTS_TST,r1keo014W0c,202409,EpiC,MSM,Negative,1006
127,HTS_TST,JRq8qlJlRyT,202407,EpiC,Clients of FSW,Negative,45
130,HTS_TST,YbFyheomukD,202407,EpiC,MSM,Negative,1
138,HTS_TST,Ss3WLPvz4zk,202408,EpiC,MSM,Negative,65
148,HTS_TST,KrPh1XtYpSg,202408,EpiC,MSM,Positive,2
154,HTS_TST,Ss3WLPvz4zk,202409,EpiC,MSM,Negative,791
155,HTS_TST,IZW1xUsIE2H,202409,EpiC,MSM,Positive,5
180,HTS_TST,KrPh1XtYpSg,202409,EpiC,MSM,Positive,57
188,HTS_TST,wekFgCAgQu0,202407,EpiC,Clients of FSW,Positive,8
192,HTS_TST,ZavKaNa2vwE,202408,EpiC,MSM,Positive,6
200,HTS_TST,GdGMDL0wkUI,202408,EpiC,MSM,Negative,38
201,HTS_TST,OMQaZdInQkv,202407,EpiC,MSM,Negative,1
211,HTS_TST,r1keo014W0c,202408,EpiC,MSM,Negative,129
227,HTS_TST,VdBxCdUVexn,202408,EpiC,MSM,Positive,2
228,HTS_TST,NufgCn3Ef6N,202409,EpiC,MSM,Positive,6
240,HTS_TST,gT8dmZi6mgR,202408,EpiC,MSM,Negative,101
242,HTS_TST,wQyWuQHzTnJ,202409,EpiC,MSM,Negative,75
245,HTS_TST,AbDgvaSIj7p,202409,EpiC,MSM,Positive,5
251,HTS_TST,gT8dmZi6mgR,202409,EpiC,MSM,Negative,237
260,HTS_TST,p0unBXtGbM9,202409,EpiC,Clients of FSW,Negative,2
267,HTS_TST,TPfWcv4pV8X,202408,EpiC,MSM,Positive,1
272,HTS_TST,TPfWcv4pV8X,202407,EpiC,MSM,Positive,2
