,dx,co,pe,ou,t8ffl8z2TVk,SyJp8OnijXb,value
0,gRob4ANbLVi,lAkCo0T7dy5,202412,zT8G6bvzdAZ,lQl7I96Kpqd,ilakKjmB9d4,48
1,gRob4ANbLVi,DGB4g8t0mN8,202506,zT8G6bvzdAZ,lQl7I96Kpqd,ilakKjmB9d4,23
2,gRob4ANbLVi,b5GPt15HxA0,202503,zT8G6bvzdAZ,lQl7I96Kpqd,qbiwGVYuTxr,38
3,gRob4ANbLVi,yPvzI5AzZbH,202407,zT8G6bvzdAZ,MshCahPF7LY,ilakKjmB9d4,3
4,gRob4ANbLVi,ahlStFDt5BK,202407,zT8G6bvzdAZ,R2VZf3GZf6O,qbiwGVYuTxr,52
5,gRob4ANbLVi,D1fEttl1Daq,202408,zT8G6bvzdAZ,MshCahPF7LY,qbiwGVYuTxr,3
6,gRob4ANbLVi,Ed0HIUeYEVW,202407,zT8G6bvzdAZ,ZG6qoXjqgp5,qbiwGVYuTxr,5
7,gRob4ANbLVi,LwCrnV0Qq2p,202506,zT8G6bvzdAZ,lQl7I96Kpqd,qbiwGVYuTxr,21
8,gRob4ANbLVi,rg8T6iK8X0o,202412,zT8G6bvzdAZ,lQl7I96Kpqd,ilakKjmB9d4,1
9,gRob4ANbLVi,Q88nLxAVMFB,202503,zT8G6bvzdAZ,lQl7I96Kpqd,qbiwGVYuTxr,30
10,gRob4ANbLVi,GnKwqSyWkSe,202409,zT8G6bvzdAZ,ND8txb1RTn3,qbiwGVYuTxr,299
11,gRob4ANbLVi,TsgohDMYt4w,202409,zT8G6bvzdAZ,kJz26y2DAzR,qbiwGVYuTxr,2
12,gRob4ANbLVi,Ja7amYEzzs5,202412,zT8G6bvzdAZ,lQl7I96Kpqd,qbiwGVYuTxr,34
13,gRob4ANbLVi,GQ75QdnvnYr,202408,zT8G6bvzdAZ,MshCahPF7LY,ilakKjmB9d4,1
14,gRob4ANbLVi,TbLN4eDGgUN,202506,zT8G6bvzdAZ,lQl7I96Kpqd,ilakKjmB9d4,6
15,gRob4ANbLVi,eao4nvpumO3,202409,zT8G6bvzdAZ,ZG6qoXjqgp5,qbiwGVYuTxr,387
16,gRob4ANbLVi,yrEH93XaKkn,202409,zT8G6bvzdAZ,lQl7I96Kpqd,ilakKjmB9d4,2
17,gRob4ANbLVi,twtxSx5SCnQ,202409,zT8G6bvzdAZ,ND8txb1RTn3,qbiwGVYuTxr,179
18,gRob4ANbLVi,b5GPt15HxA0,202504,zT8G6bvzdAZ,lQl7I96Kpqd,qbiwGVYuTxr,3
19,gRob4ANbLVi,DGB4g8t0mN8,202505,zT8G6bvzdAZ,lQl7I96Kpqd,ilakKjmB9d4,24
20,gRob4ANbLVi,D1fEttl1Daq,202407,zT8G6bvzdAZ,MshCahPF7LY,qbiwGVYuTxr,4
